text,class
If you use then it works,non_debt
If you use spring and then refer to an endpoint And then in a route has Then you get this spring error,non_debt
Using <to> with id and ref fails,non_debt
There is a basic health indicator now.,non_debt
We need the health check API in camel-core for fine grained status of routes etc.,non_debt
see the section on writing custom health indicators: it'd be awesome if any spring boot camel application automatically got a health indicator to show if any camel contexts or routes fail to startup (or fail during their lifetime),non_debt
add a Spring Boot HealthIndicator to check that all camel contexts have started up and all the routes started OK,non_debt
We were missing property in parent POM and camel-avro is using it in its Karaf feature definition.,non_debt
It hangs during installation in karaf,non_debt
camel-avro - Cannot install in karaf,non_debt
Adding a unit test to reproduce,non_debt
The package scanning is deprecated and you should really use the FQN in the marker file to refer to your classes of type converters.,non_debt
A custom implementation of (extending the default) is likely needed for spring boot to be able to scan inside spring boot fat JARs,non_debt
"Yes, actually, I didn't want to use it, it's the camel-core test-jar, that is included transitively by several modules in test scope, that requires package scanning (making integration tests fail). I reported it also to understand if the same technique of package scanning is used elsewhere for some core feature.",non_debt
Thanks for the PR,non_debt
"When custom converters are included in a spring-boot nested jar, and the corresponding declares just the package containing the converters (not their full class names), spring-boot is not able to find them. Eg. whenever you include the camel-core *test-jar* in a spring-boot application, the application crashes with the attached exception. This happens only when the application is packaged and launched with `java -jar everything works if the application is not packaged. I experienced the same behavior with a sample module created ad hoc. The problem is related to package scanning, when names are used in the descriptor there are no problems.",non_debt
Cannot scan package to find custom converters,non_debt
"This is a generic problem with Salesforce, so the solution is to follow the REST principle of ignoring unknown fields altogether. This behaviour will be common to JSON and XML and will avoid future issues where running code breaks in production because Salesforce decided to add fields from new APIs in responses to older API versions.",non_debt
Fixed on branches master and camel-2.17.x,non_debt
"The fix doesn't seem to be working. As part if this fix the annotation = true) was added to the base class ""AbstractDTOBase"" Unfortunately this annotation has not been defined as ""@Inherited"" and thus is not inherited by the sub classes. Maybe this annotation should be added to ""sobject-pojo.vm"" so that it gets added to each of the generated classes",non_debt
